timestamp,event_type,content
1733330493.483635,command_sent,"<092,035,160,090,120>"
1733330493.5062542,feedback_received,"Uno_FB: 336,218,215,337"
1733330493.506729,feedback_received,Nano_Servo5_FB: 401
1733330493.5071611,feedback_received,"Nano_Current: 525,532,531,529,531"
1733330493.554935,feedback_received,"Uno_FB: 336,218,215,336"
1733330493.5557919,feedback_received,"Uno_FB: 336,219,215,336"
1733330493.556114,feedback_received,Nano_Servo5_FB: 401
1733330493.556635,feedback_received,"Nano_Current: 524,532,532,530,532"
1733330493.605319,feedback_received,"Uno_FB: 336,218,215,336"
1733330493.6059158,feedback_received,Nano_Servo5_FB: 401
1733330493.606462,feedback_received,"Nano_Current: 526,532,529,530,532"
1733330493.656009,feedback_received,"Uno_FB: 337,218,215,336"
1733330493.656576,feedback_received,Nano_Servo5_FB: 401
1733330493.6571279,feedback_received,"Nano_Current: 525,533,532,529,532"
1733330493.705523,feedback_received,"Uno_FB: 337,218,215,337"
1733330493.7063081,feedback_received,"Uno_FB: 337,218,214,336"
1733330493.7065978,feedback_received,Nano_Servo5_FB: 401
1733330493.7070389,feedback_received,"Nano_Current: 526,533,532,529,531"
1733330493.7552269,feedback_received,"Uno_FB: 338,218,215,337"
1733330493.755809,feedback_received,Nano_Servo5_FB: 401
1733330493.756351,feedback_received,"Nano_Current: 526,532,532,530,531"
1733330493.7989051,command_sent,"<093,035,160,090,120>"
1733330493.82124,feedback_received,"Uno_FB: 337,219,214,336"
1733330493.8219361,feedback_received,"Uno_FB: 337,218,215,336"
1733330493.822219,feedback_received,Nano_Servo5_FB: 401
1733330493.822656,feedback_received,"Nano_Current: 525,532,531,529,532"
1733330493.837745,command_sent,"<092,035,160,090,120>"
1733330493.858324,feedback_received,"Uno_FB: 337,218,215,337"
1733330493.858886,feedback_received,Nano_Servo5_FB: 401
1733330493.859398,feedback_received,"Nano_Current: 526,532,531,529,532"
1733330493.8732522,command_sent,"<090,035,160,090,120>"
1733330493.8937201,command_sent,"<088,035,160,090,120>"
1733330493.9136589,command_sent,"<087,035,160,090,120>"
1733330493.933635,feedback_received,"Uno_FB: 338,218,215,337"
1733330493.934309,feedback_received,"Uno_FB: 337,218,215,336"
1733330493.934762,feedback_received,"Uno_FB: 338,218,215,336"
1733330493.935002,feedback_received,Nano_Servo5_FB: 402
1733330493.935425,feedback_received,"Nano_Current: 525,533,531,529,532"
1733330493.9355452,feedback_received,Nano_Servo5_FB: 402
1733330493.9358962,feedback_received,"Nano_Current: 525,532,531,529,532"
1733330493.949725,command_sent,"<085,035,160,090,120>"
1733330493.970377,command_sent,"<084,035,160,090,120>"
1733330493.990531,feedback_received,"Uno_FB: 339,219,215,337"
1733330493.990967,feedback_received,Nano_Servo5_FB: 402
1733330493.9996119,feedback_received,"Nano_Current: 529,532,531,530,532"
1733330494.0175161,command_sent,"<082,035,160,090,120>"
1733330494.036763,feedback_received,"Uno_FB: 342,218,215,337"
1733330494.037397,feedback_received,"Uno_FB: 336,218,214,337"
1733330494.05494,feedback_received,Nano_Servo5_FB: 401
1733330494.055579,feedback_received,"Nano_Current: 527,533,532,530,532"
1733330494.105561,feedback_received,"Uno_FB: 334,218,215,337"
1733330494.106369,feedback_received,"Uno_FB: 328,219,215,336"
1733330494.1066592,feedback_received,Nano_Servo5_FB: 401
1733330494.1072068,feedback_received,"Nano_Current: 527,532,531,529,533"
1733330494.144263,command_sent,"<081,035,160,090,120>"
1733330494.165594,feedback_received,"Uno_FB: 327,218,214,336"
1733330494.166023,feedback_received,Nano_Servo5_FB: 401
1733330494.1664739,feedback_received,"Nano_Current: 525,533,530,530,531"
1733330494.182836,command_sent,"<079,035,160,090,120>"
1733330494.202904,command_sent,"<078,035,160,090,120>"
1733330494.2225568,feedback_received,"Uno_FB: 325,218,215,336"
1733330494.223302,feedback_received,"Uno_FB: 326,218,215,336"
1733330494.223552,feedback_received,Nano_Servo5_FB: 402
1733330494.223968,feedback_received,"Nano_Current: 527,533,532,530,531"
1733330494.239073,command_sent,"<076,035,160,090,120>"
1733330494.259559,command_sent,"<074,035,160,090,120>"
1733330494.279883,feedback_received,"Uno_FB: 326,219,215,337"
1733330494.2806458,feedback_received,"Uno_FB: 319,218,215,336"
1733330494.2809532,feedback_received,Nano_Servo5_FB: 402
1733330494.2813811,feedback_received,"Nano_Current: 530,532,531,529,532"
1733330494.297583,command_sent,"<073,035,160,090,120>"
1733330494.317726,command_sent,"<071,035,160,090,120>"
1733330494.318774,feedback_received,"Uno_FB: 320,218,215,336"
1733330494.319137,feedback_received,Nano_Servo5_FB: 401
1733330494.3196192,feedback_received,"Nano_Current: 529,533,531,530,532"
1733330494.351585,command_sent,"<070,035,160,090,120>"
1733330494.37126,feedback_received,"Uno_FB: 321,218,215,337"
1733330494.37169,feedback_received,Nano_Servo5_FB: 401
1733330494.3721259,feedback_received,"Nano_Current: 530,532,532,529,532"
1733330494.405432,feedback_received,"Uno_FB: 311,218,214,336"
1733330494.4059038,feedback_received,Nano_Servo5_FB: 401
1733330494.414814,feedback_received,"Nano_Current: 527,533,532,529,532"
1733330494.455194,feedback_received,"Uno_FB: 309,219,215,337"
1733330494.455976,feedback_received,"Uno_FB: 302,218,215,336"
1733330494.462476,feedback_received,Nano_Servo5_FB: 402
1733330494.463169,feedback_received,"Nano_Current: 526,532,532,529,532"
1733330494.501986,command_sent,"<068,035,160,090,120>"
1733330494.523571,feedback_received,"Uno_FB: 298,218,214,336"
1733330494.524241,feedback_received,"Uno_FB: 297,219,215,337"
1733330494.52456,feedback_received,Nano_Servo5_FB: 401
1733330494.525043,feedback_received,"Nano_Current: 526,532,531,529,531"
1733330494.540805,command_sent,"<067,035,160,090,120>"
1733330494.561045,command_sent,"<064,035,160,090,120>"
1733330494.581104,feedback_received,"Uno_FB: 299,219,215,336"
1733330494.5828822,feedback_received,"Uno_FB: 298,218,215,336"
1733330494.583179,feedback_received,Nano_Servo5_FB: 402
1733330494.5836039,feedback_received,"Nano_Current: 531,533,532,530,533"
1733330494.601294,command_sent,"<062,035,160,090,120>"
1733330494.621805,command_sent,"<061,035,160,090,120>"
1733330494.642549,feedback_received,"Uno_FB: 295,218,215,337"
1733330494.643002,feedback_received,Nano_Servo5_FB: 402
1733330494.6434581,feedback_received,"Nano_Current: 527,532,531,529,531"
1733330494.657589,command_sent,"<059,035,160,090,120>"
1733330494.678844,command_sent,"<057,035,160,090,120>"
1733330494.679931,feedback_received,"Uno_FB: 298,219,215,336"
1733330494.6802151,feedback_received,Nano_Servo5_FB: 401
1733330494.680637,feedback_received,"Nano_Current: 531,534,531,529,533"
1733330494.712352,command_sent,"<054,035,160,090,120>"
1733330494.7321432,feedback_received,"Uno_FB: 289,218,215,337"
1733330494.732803,feedback_received,"Uno_FB: 287,218,215,336"
1733330494.733056,feedback_received,Nano_Servo5_FB: 401
1733330494.7335029,feedback_received,"Nano_Current: 526,533,531,530,532"
1733330494.749598,command_sent,"<053,035,160,090,120>"
1733330494.770049,command_sent,"<051,035,160,090,120>"
1733330494.790113,feedback_received,"Uno_FB: 281,219,215,336"
1733330494.790773,feedback_received,"Uno_FB: 281,219,215,336"
1733330494.791021,feedback_received,Nano_Servo5_FB: 402
1733330494.79143,feedback_received,"Nano_Current: 530,533,532,530,532"
1733330494.8076649,command_sent,"<050,035,160,090,120>"
1733330494.828062,command_sent,"<048,035,160,090,120>"
1733330494.8291368,feedback_received,"Uno_FB: 279,219,215,337"
1733330494.829407,feedback_received,Nano_Servo5_FB: 402
1733330494.829825,feedback_received,"Nano_Current: 529,532,531,530,532"
1733330494.861938,command_sent,"<047,035,160,090,120>"
1733330494.882043,feedback_received,"Uno_FB: 267,218,215,336"
1733330494.8825028,feedback_received,Nano_Servo5_FB: 402
1733330494.882953,feedback_received,"Nano_Current: 528,533,530,530,532"
1733330494.898338,command_sent,"<045,035,160,090,120>"
1733330494.918356,command_sent,"<043,035,160,090,120>"
1733330494.938964,feedback_received,"Uno_FB: 266,218,215,336"
1733330494.9396732,feedback_received,"Uno_FB: 260,218,215,336"
1733330494.939945,feedback_received,Nano_Servo5_FB: 402
1733330494.940396,feedback_received,"Nano_Current: 530,532,531,529,532"
1733330494.954159,command_sent,"<042,035,160,090,120>"
1733330494.974881,command_sent,"<040,035,160,090,120>"
1733330494.9948428,feedback_received,"Uno_FB: 257,218,215,336"
1733330494.995527,feedback_received,"Uno_FB: 255,219,215,337"
1733330494.9957829,feedback_received,Nano_Servo5_FB: 402
1733330494.9961972,feedback_received,"Nano_Current: 529,534,531,530,532"
1733330495.011425,command_sent,"<039,035,160,090,120>"
1733330495.031428,command_sent,"<037,035,160,090,120>"
1733330495.0510678,feedback_received,"Uno_FB: 250,218,215,337"
1733330495.0515342,feedback_received,Nano_Servo5_FB: 402
1733330495.0519931,feedback_received,"Nano_Current: 528,533,532,528,532"
1733330495.066837,command_sent,"<036,035,160,090,120>"
1733330495.087428,command_sent,"<034,035,160,090,120>"
1733330495.107469,feedback_received,"Uno_FB: 248,218,215,337"
1733330495.108084,feedback_received,"Uno_FB: 240,218,215,337"
1733330495.108302,feedback_received,Nano_Servo5_FB: 402
1733330495.108717,feedback_received,"Nano_Current: 529,532,530,530,532"
1733330495.122566,command_sent,"<033,035,160,090,120>"
1733330495.143063,command_sent,"<031,035,160,090,120>"
1733330495.163063,command_sent,"<029,035,160,090,120>"
1733330495.1819131,feedback_received,"Uno_FB: 238,219,215,337"
1733330495.182543,feedback_received,"Uno_FB: 229,219,215,336"
1733330495.182771,feedback_received,Nano_Servo5_FB: 402
1733330495.1831949,feedback_received,"Nano_Current: 529,533,531,529,531"
1733330495.183318,feedback_received,Nano_Servo5_FB: 402
1733330495.183682,feedback_received,"Nano_Current: 528,534,532,529,532"
1733330495.199585,command_sent,"<028,035,160,090,120>"
1733330495.220267,feedback_received,"Uno_FB: 224,218,215,336"
1733330495.236223,command_sent,"<026,035,160,090,120>"
1733330495.256177,feedback_received,"Uno_FB: 226,219,215,336"
1733330495.256646,feedback_received,Nano_Servo5_FB: 402
1733330495.2570739,feedback_received,"Nano_Current: 531,531,531,529,532"
1733330495.3060741,feedback_received,"Uno_FB: 218,218,215,336"
1733330495.30687,feedback_received,"Uno_FB: 217,219,215,336"
1733330495.307169,feedback_received,Nano_Servo5_FB: 402
1733330495.307714,feedback_received,"Nano_Current: 526,534,532,529,532"
1733330495.355407,feedback_received,"Uno_FB: 209,218,215,337"
1733330495.35594,feedback_received,Nano_Servo5_FB: 402
1733330495.3565068,feedback_received,"Nano_Current: 526,533,530,529,532"
1733330495.405289,feedback_received,"Uno_FB: 207,218,214,336"
1733330495.406098,feedback_received,"Uno_FB: 203,218,215,336"
1733330495.406385,feedback_received,Nano_Servo5_FB: 402
1733330495.4069278,feedback_received,"Nano_Current: 527,533,532,529,531"
1733330495.441925,command_sent,"<025,035,160,090,120>"
1733330495.461031,feedback_received,"Uno_FB: 201,218,215,336"
1733330495.461449,feedback_received,Nano_Servo5_FB: 401
1733330495.4619038,feedback_received,"Nano_Current: 526,533,531,529,532"
1733330495.4776828,command_sent,"<023,035,160,090,120>"
1733330495.4975328,command_sent,"<020,035,160,090,120>"
